file,selector,type,key_hint,text;;;;;
".\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2),innerText,,""Freccia sinistra <div class=""""faq-arrow left"""" onclick=""""scrollFAQ(-1)""""> <svg width=""""18"""" height=""""18"""" viewBox=""""0 0 24 24"""" fill=""""none""""> <path d=""""M15 18l-6-6 6-6"""" stroke=""""#fff"""" stroke-width=""""2"""" stroke-linecap=""""round"""" stroke-linejoin=""""round""""/> </svg> </div>""";;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2),innerText,,Area Scrollabile;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box,innerText,,Categoria: Locale;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-venue > button#faq_1,innerText,,¿Cuáles son los horarios de apertura?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-venue > button#faq_2,innerText,,¿Cómo puedo reservar una mesa?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-venue > button#faq_3,innerText,,¿Se puede reservar la terraza en la azotea?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-venue > button#faq_4,innerText,,¿Cuántos asientos tiene el local?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box,innerText,,Categoria: Menù;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_5,innerText,,¿Tienen menú de desayuno?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_6,innerText,,¿Qué tipos de café tienen?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_7,innerText,,¿Qué cócteles tienen?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_8,innerText,,¿Qué hay para almorzar?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_9,innerText,,¿Tienen pasteles o postres?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_10,innerText,,¿Qué bebidas tienen?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_11,innerText,,¿Tienen opciones veganas?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_12,innerText,,¿Tienen opciones sin gluten?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_13,innerText,,¿Tienen opciones sin lactosa?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_14,innerText,,¿Tienen opciones sin nueces?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_15,innerText,,¿Tienen opciones sin huevo?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_16,innerText,,¿Tienen opciones sin pescado?;;;;;
